Cement brand,Specific Weight of cement,Dry Specific Weight of fine aggregate,Fineness Module of fine aggregate,Dry Specific Weight of Coarse Aggregate,Fineness Module of coarse aggregate,Nominal Maximum Size,Concrete Strength at 28 days,Slump,Cement Weight,Fine Aggregate Weight,Coarse Aggregate Weight,Water Weight
ANDINO IP,2954,2570.63,2.43,2599.08,6.45,0.75,298.66,4,368.71,808.81,872.12,205
YURA IP,2799,2570.63,2.43,2599.08,6.45,0.75,328.23,4.6,439.91,725.64,872.12,205
MISHKY IP,2866,2570.63,2.43,2599.08,6.45,0.75,355.09,6.75,439.91,735.08,872.12,205
ANDINO IP,2954,2570.63,2.43,2599.08,6.45,0.75,450.46,5,439.91,746.84,876.12,205
YURA IP,2799,2314.21,2.81,2419.2,6.57,0.75,221.92,2.5,368.71,605.62,923.1,205
MISHKY IP,2866,2314.21,2.81,2419.2,6.57,0.75,240.28,3.75,368.71,612.75,923.1,205
ANDINO IP,2954,2314.21,2.81,2419.2,6.57,0.75,298.07,3,368.71,621.62,923.1,205
YURA IP,2799,2314.21,2.81,2419.2,6.57,0.75,317.51,2.9,439.91,546.75,923.1,205
MISHKY IP,2866,2314.21,2.81,2419.2,6.57,0.75,350.93,5.75,439.91,555.25,923.1,205
ANDINO IP,2954,2314.21,2.81,2419.2,6.57,0.75,433.28,4.25,439.91,565.83,923.1,205
YURA IP,2840,2430,3.84,2531,7.34,1,232,4.5,351,632,1033,193
YURA IP,2840,2430,3.84,2531,7.34,1,253,4.75,351,666,997,193
YURA IP,2840,2430,3.84,2531,7.34,1,231,4.75,351,697,964,193
YURA IP,2840,2430,3.84,2531,7.34,1,283,4,400,610,997,200
YURA IP,2840,2430,3.84,2531,7.34,1,296,4.5,400,642,964,200
YURA IP,2840,2430,3.84,2531,7.34,1,246,4.75,400,673,932,200
YURA IP,2840,2430,3.84,2531,7.34,1,342,4.5,460,612,921,207
YURA IP,2840,2430,3.84,2531,7.34,1,398,4.75,460,583,952,207
YURA IP,2840,2430,3.84,2531,7.34,1,352,4.75,460,554,982,207
YURA IP,2850,2490,2.91,2689,6.36,0.5,262,3,387.1,749.49,866.21,216
YURA IP,2850,2490,2.91,2689,6.36,0.5,354,3,463.52,682.83,866.21,216
WARI TIPO I,2950,2490,2.91,2689,6.36,0.5,346,3.5,387.1,761.94,866.21,216
WARI TIPO I,2950,2490,2.91,2689,6.36,0.5,442.4,3,463.52,696.56,866.21,216
YURA IP,2810,2399,2.57,2418.5,6.344,0.75,176,3.5,325,701,1000,205
YURA IP,2810,2399,2.57,2418.5,6.344,0.75,258,3.5,366,667,1000,205
